,File,Participant,ndarray,Segment,State
644,NonOverlap20081015MS_Segment_2_wake.mat,20081015MS,"[[ 1.         -0.16669512 -0.330584   ... -0.16587797  0.25850177
  -0.6467383 ]
 [-0.16669512  1.          0.46437156 ... -0.27284887  0.08191001
   0.28661653]
 [-0.330584    0.46437156  1.         ... -0.45385215  0.40561408
   0.2521869 ]
 ...
 [-0.16587797 -0.27284887 -0.45385215 ...  1.         -0.35559815
   0.01371272]
 [ 0.25850177  0.08191001  0.40561408 ... -0.35559815  1.
  -0.14103866]
 [-0.6467383   0.28661653  0.2521869  ...  0.01371272 -0.14103866
   1.        ]]",2,Wake
645,NonOverlap20081015MS_Segment_3_wake.mat,20081015MS,"[[ 1.         -0.4699482  -0.47988427 ... -0.3586251  -0.11020493
  -0.11681485]
 [-0.4699482   1.          0.20238772 ... -0.08139007  0.08284035
   0.22839108]
 [-0.47988427  0.20238772  1.         ...  0.23241353 -0.5448493
   0.2522623 ]
 ...
 [-0.3586251  -0.08139007  0.23241353 ...  1.         -0.10620297
   0.31996587]
 [-0.11020493  0.08284035 -0.5448493  ... -0.10620297  1.
  -0.13250357]
 [-0.11681485  0.22839108  0.2522623  ...  0.31996587 -0.13250357
   1.        ]]",3,Wake
646,NonOverlap20081015MS_Segment_4_wake.mat,20081015MS,"[[ 1.         -0.05051164 -0.03883866 ... -0.28428084 -0.12324038
  -0.09222704]
 [-0.05051164  1.         -0.14023608 ...  0.06482986 -0.19465426
  -0.07393397]
 [-0.03883866 -0.14023608  1.         ...  0.01146448 -0.22159682
   0.07853692]
 ...
 [-0.28428084  0.06482986  0.01146448 ...  1.         -0.09535442
  -0.15006565]
 [-0.12324038 -0.19465426 -0.22159682 ... -0.09535442  1.
  -0.14892271]
 [-0.09222704 -0.07393397  0.07853692 ... -0.15006565 -0.14892271
   1.        ]]",4,Wake
647,NonOverlap20081015MS_Segment_5_wake.mat,20081015MS,"[[ 1.         -0.11160055 -0.16224448 ... -0.17694594  0.10688727
  -0.43082663]
 [-0.11160055  1.         -0.03613991 ... -0.32891506 -0.00660176
  -0.27737573]
 [-0.16224448 -0.03613991  1.         ... -0.05164347 -0.15240197
   0.17373748]
 ...
 [-0.17694594 -0.32891506 -0.05164347 ...  1.         -0.31339586
   0.4997834 ]
 [ 0.10688727 -0.00660176 -0.15240197 ... -0.31339586  1.
  -0.11959662]
 [-0.43082663 -0.27737573  0.17373748 ...  0.4997834  -0.11959662
   1.        ]]",5,Wake
648,NonOverlap20081016NJ_Segment_1_wake.mat,20081016NJ,"[[ 1.         -0.08027348  0.17623085 ... -0.07427458 -0.04979575
   0.06231675]
 [-0.08027348  1.          0.04119318 ... -0.08468473  0.1433518
  -0.055446  ]
 [ 0.17623085  0.04119318  1.         ...  0.38937825 -0.15236264
   0.13575679]
 ...
 [-0.07427458 -0.08468473  0.38937825 ...  1.         -0.30605257
   0.10977834]
 [-0.04979575  0.1433518  -0.15236264 ... -0.30605257  1.
  -0.119491  ]
 [ 0.06231675 -0.055446    0.13575679 ...  0.10977834 -0.119491
   1.        ]]",1,Wake
649,NonOverlap20081016NJ_Segment_2_wake.mat,20081016NJ,"[[ 1.          0.2276006   0.17743756 ... -0.14639895  0.4735278
   0.07710461]
 [ 0.2276006   1.          0.09588841 ...  0.12880944  0.24420346
   0.02049886]
 [ 0.17743756  0.09588841  1.         ...  0.34823802  0.42643923
  -0.07728509]
 ...
 [-0.14639895  0.12880944  0.34823802 ...  1.          0.11740655
   0.12082165]
 [ 0.4735278   0.24420346  0.42643923 ...  0.11740655  1.
   0.07257914]
 [ 0.07710461  0.02049886 -0.07728509 ...  0.12082165  0.07257914
   1.        ]]",2,Wake
650,NonOverlap20081016NJ_Segment_3_wake.mat,20081016NJ,"[[ 1.         -0.10695406 -0.14290586 ... -0.22284903  0.00681601
  -0.22916174]
 [-0.10695406  1.          0.1261361  ...  0.05424428 -0.03496701
   0.4022979 ]
 [-0.14290586  0.1261361   1.         ... -0.3368845  -0.02385176
  -0.14324525]
 ...
 [-0.22284903  0.05424428 -0.3368845  ...  1.          0.27899927
  -0.09465599]
 [ 0.00681601 -0.03496701 -0.02385176 ...  0.27899927  1.
  -0.17163205]
 [-0.22916174  0.4022979  -0.14324525 ... -0.09465599 -0.17163205
   1.        ]]",3,Wake
651,NonOverlap20081016NJ_Segment_4_wake.mat,20081016NJ,"[[ 1.          0.18687329  0.14850157 ... -0.07799876 -0.17452344
  -0.05974773]
 [ 0.18687329  1.          0.06241117 ...  0.21877222 -0.03487024
  -0.30324668]
 [ 0.14850157  0.06241117  1.         ...  0.15087654  0.27302733
  -0.06726401]
 ...
 [-0.07799876  0.21877222  0.15087654 ...  1.          0.07054028
  -0.34369922]
 [-0.17452344 -0.03487024  0.27302733 ...  0.07054028  1.
   0.02724719]
 [-0.05974773 -0.30324668 -0.06726401 ... -0.34369922  0.02724719
   1.        ]]",4,Wake
652,NonOverlap20081016NJ_Segment_5_wake.mat,20081016NJ,"[[ 1.         -0.08002889  0.15560183 ...  0.27307928 -0.3142932
   0.08516246]
 [-0.08002889  1.          0.03650675 ...  0.15215987  0.296766
  -0.11204407]
 [ 0.15560183  0.03650675  1.         ... -0.00888829 -0.02001874
  -0.11551595]
 ...
 [ 0.27307928  0.15215987 -0.00888829 ...  1.          0.0864796
  -0.16734168]
 [-0.3142932   0.296766   -0.02001874 ...  0.0864796   1.
  -0.01731174]
 [ 0.08516246 -0.11204407 -0.11551595 ... -0.16734168 -0.01731174
   1.        ]]",5,Wake
653,NonOverlap20081016NJ_Segment_6_wake.mat,20081016NJ,"[[ 1.          0.2683488  -0.0660813  ...  0.08824265  0.07875243
  -0.16924748]
 [ 0.2683488   1.          0.26551569 ...  0.2742936  -0.1825287
  -0.2905005 ]
 [-0.0660813   0.26551569  1.         ...  0.22068481 -0.19654818
  -0.38540012]
 ...
 [ 0.08824265  0.2742936   0.22068481 ...  1.         -0.14480141
  -0.30818745]
 [ 0.07875243 -0.1825287  -0.19654818 ... -0.14480141  1.
   0.14271864]
 [-0.16924748 -0.2905005  -0.38540012 ... -0.30818745  0.14271864
   1.        ]]",6,Wake
654,NonOverlap20081016NJ_Segment_7_wake.mat,20081016NJ,"[[ 1.          0.24181476  0.08756705 ... -0.49474448  0.23661405
   0.2029496 ]
 [ 0.24181476  1.          0.0051921  ... -0.5048283   0.02945672
  -0.180845  ]
 [ 0.08756705  0.0051921   1.         ...  0.03590954  0.5282455
  -0.02349859]
 ...
 [-0.49474448 -0.5048283   0.03590954 ...  1.          0.14914803
  -0.12272938]
 [ 0.23661405  0.02945672  0.5282455  ...  0.14914803  1.
  -0.08126208]
 [ 0.2029496  -0.180845   -0.02349859 ... -0.12272938 -0.08126208
   1.        ]]",7,Wake
655,NonOverlap20081023NM_Segment_1_wake.mat,20081023NM,"[[ 1.         -0.18967462 -0.08002786 ... -0.06005629 -0.01562577
  -0.09893851]
 [-0.18967462  1.          0.46768004 ...  0.11879155  0.1485689
  -0.2384437 ]
 [-0.08002786  0.46768004  1.         ...  0.00582044 -0.18193398
  -0.6090398 ]
 ...
 [-0.06005629  0.11879155  0.00582044 ...  1.         -0.26933914
  -0.0187823 ]
 [-0.01562577  0.1485689  -0.18193398 ... -0.26933914  1.
   0.22618851]
 [-0.09893851 -0.2384437  -0.6090398  ... -0.0187823   0.22618851
   1.        ]]",1,Wake
656,NonOverlap20081023NM_Segment_2_wake.mat,20081023NM,"[[ 1.          0.05237588 -0.016671   ... -0.085568    0.05975328
  -0.07622848]
 [ 0.05237588  1.         -0.20563148 ... -0.02406314  0.16382326
  -0.13322565]
 [-0.016671   -0.20563148  1.         ... -0.02371207  0.01910079
  -0.04619035]
 ...
 [-0.085568   -0.02406314 -0.02371207 ...  1.          0.02698677
  -0.19051255]
 [ 0.05975328  0.16382326  0.01910079 ...  0.02698677  1.
  -0.06671518]
 [-0.07622848 -0.13322565 -0.04619035 ... -0.19051255 -0.06671518
   1.        ]]",2,Wake
657,NonOverlap20081023NM_Segment_3_wake.mat,20081023NM,"[[ 1.          0.10450931 -0.2082214  ...  0.13565259 -0.31354493
   0.18385553]
 [ 0.10450931  1.         -0.00668118 ... -0.3938849   0.09432567
   0.12806457]
 [-0.2082214  -0.00668118  1.         ... -0.18442625 -0.05686257
   0.02742517]
 ...
 [ 0.13565259 -0.3938849  -0.18442625 ...  1.         -0.21543759
  -0.14938793]
 [-0.31354493  0.09432567 -0.05686257 ... -0.21543759  1.
   0.02629315]
 [ 0.18385553  0.12806457  0.02742517 ... -0.14938793  0.02629315
   1.        ]]",3,Wake
658,NonOverlap20081023NM_Segment_4_wake.mat,20081023NM,"[[ 1.          0.23839611  0.14887953 ...  0.06099341 -0.29246572
  -0.02055031]
 [ 0.23839611  1.         -0.08376564 ...  0.23023093  0.2584166
  -0.137299  ]
 [ 0.14887953 -0.08376564  1.         ... -0.28102672 -0.09493177
   0.175715  ]
 ...
 [ 0.06099341  0.23023093 -0.28102672 ...  1.         -0.20737615
   0.36506552]
 [-0.29246572  0.2584166  -0.09493177 ... -0.20737615  1.
  -0.05211502]
 [-0.02055031 -0.137299    0.175715   ...  0.36506552 -0.05211502
   1.        ]]",4,Wake
659,NonOverlap20081023NM_Segment_5_wake.mat,20081023NM,"[[ 1.          0.03153107 -0.05868159 ...  0.11872289  0.16997892
   0.05188253]
 [ 0.03153107  1.          0.43395424 ...  0.3035948   0.01219189
   0.32000235]
 [-0.05868159  0.43395424  1.         ...  0.39071307 -0.19889976
   0.04510203]
 ...
 [ 0.11872289  0.3035948   0.39071307 ...  1.         -0.16732924
   0.07990588]
 [ 0.16997892  0.01219189 -0.19889976 ... -0.16732924  1.
   0.15968892]
 [ 0.05188253  0.32000235  0.04510203 ...  0.07990588  0.15968892
   1.        ]]",5,Wake
660,NonOverlap20081023NM_Segment_6_wake.mat,20081023NM,"[[ 1.         -0.07256974 -0.12111045 ... -0.24125834  0.34591168
  -0.3438632 ]
 [-0.07256974  1.          0.06497177 ...  0.58134514 -0.12392138
   0.15280716]
 [-0.12111045  0.06497177  1.         ...  0.25451317  0.18043354
   0.09520497]
 ...
 [-0.24125834  0.58134514  0.25451317 ...  1.         -0.14208643
   0.10668945]
 [ 0.34591168 -0.12392138  0.18043354 ... -0.14208643  1.
  -0.28636432]
 [-0.3438632   0.15280716  0.09520497 ...  0.10668945 -0.28636432
   1.        ]]",6,Wake
661,NonOverlap20081023NM_Segment_7_wake.mat,20081023NM,"[[ 1.         -0.19489723 -0.5308992  ...  0.07266003  0.2643793
  -0.26624796]
 [-0.19489723  1.          0.33481285 ... -0.00777895 -0.18504468
  -0.30759707]
 [-0.5308992   0.33481285  1.         ... -0.14172687 -0.04060707
  -0.05193052]
 ...
 [ 0.07266003 -0.00777895 -0.14172687 ...  1.          0.25467068
   0.0148106 ]
 [ 0.2643793  -0.18504468 -0.04060707 ...  0.25467068  1.
  -0.30606025]
 [-0.26624796 -0.30759707 -0.05193052 ...  0.0148106  -0.30606025
   1.        ]]",7,Wake
662,NonOverlap20081028MT_Segment_1_wake.mat,20081028MT,"[[ 1.         -0.01778392 -0.08293274 ... -0.4980287  -0.28182954
  -0.34454855]
 [-0.01778392  1.         -0.25754207 ... -0.06618478 -0.33362898
   0.09786057]
 [-0.08293274 -0.25754207  1.         ...  0.33677197  0.35724282
  -0.25411788]
 ...
 [-0.4980287  -0.06618478  0.33677197 ...  1.          0.0540939
   0.28665426]
 [-0.28182954 -0.33362898  0.35724282 ...  0.0540939   1.
  -0.0833304 ]
 [-0.34454855  0.09786057 -0.25411788 ...  0.28665426 -0.0833304
   1.        ]]",1,Wake
663,NonOverlap20081028MT_Segment_2_wake.mat,20081028MT,"[[ 1.         -0.14309698 -0.12985621 ... -0.07507472 -0.28676245
   0.10597081]
 [-0.14309698  1.          0.70770913 ... -0.09007181 -0.35291284
  -0.37509087]
 [-0.12985621  0.70770913  1.         ...  0.06520955 -0.22385514
  -0.09172885]
 ...
 [-0.07507472 -0.09007181  0.06520955 ...  1.          0.5165297
   0.01192841]
 [-0.28676245 -0.35291284 -0.22385514 ...  0.5165297   1.
   0.25646144]
 [ 0.10597081 -0.37509087 -0.09172885 ...  0.01192841  0.25646144
   1.        ]]",2,Wake
664,NonOverlap20081028MT_Segment_3_wake.mat,20081028MT,"[[ 1.         -0.06243592 -0.0445371  ...  0.02150094 -0.20129444
  -0.26669586]
 [-0.06243592  1.         -0.12047885 ... -0.11552218  0.12675886
   0.35850394]
 [-0.0445371  -0.12047885  1.         ...  0.07923406  0.17685245
  -0.3513341 ]
 ...
 [ 0.02150094 -0.11552218  0.07923406 ...  1.         -0.03831401
  -0.17649189]
 [-0.20129444  0.12675886  0.17685245 ... -0.03831401  1.
   0.11764766]
 [-0.26669586  0.35850394 -0.3513341  ... -0.17649189  0.11764766
   1.        ]]",3,Wake
665,NonOverlap20081028MT_Segment_4_wake.mat,20081028MT,"[[ 1.         -0.21548674 -0.25112516 ...  0.1454533  -0.07963949
  -0.21989305]
 [-0.21548674  1.          0.08594185 ...  0.02479695  0.1457455
   0.11233451]
 [-0.25112516  0.08594185  1.         ... -0.11464855  0.313209
   0.2654651 ]
 ...
 [ 0.1454533   0.02479695 -0.11464855 ...  1.          0.21421877
  -0.19719157]
 [-0.07963949  0.1457455   0.313209   ...  0.21421877  1.
   0.06922955]
 [-0.21989305  0.11233451  0.2654651  ... -0.19719157  0.06922955
   1.        ]]",4,Wake
666,NonOverlap20081028MT_Segment_5_wake.mat,20081028MT,"[[ 1.          0.02882189 -0.02895443 ... -0.10080782 -0.31104845
  -0.13755378]
 [ 0.02882189  1.          0.23522902 ...  0.12625623  0.0555041
   0.0742815 ]
 [-0.02895443  0.23522902  1.         ... -0.01367852 -0.10913815
   0.00117043]
 ...
 [-0.10080782  0.12625623 -0.01367852 ...  1.         -0.01892173
   0.16380015]
 [-0.31104845  0.0555041  -0.10913815 ... -0.01892173  1.
   0.09183626]
 [-0.13755378  0.0742815   0.00117043 ...  0.16380015  0.09183626
   1.        ]]",5,Wake
667,NonOverlap20081028MT_Segment_6_wake.mat,20081028MT,"[[ 1.         -0.38570333 -0.05411907 ...  0.01411662 -0.39744776
  -0.10611442]
 [-0.38570333  1.         -0.06294648 ... -0.02119743  0.5742681
   0.29361668]
 [-0.05411907 -0.06294648  1.         ... -0.06613018 -0.03457038
   0.1672931 ]
 ...
 [ 0.01411662 -0.02119743 -0.06613018 ...  1.          0.0446004
   0.16850652]
 [-0.39744776  0.5742681  -0.03457038 ...  0.0446004   1.
   0.44586682]
 [-0.10611442  0.29361668  0.1672931  ...  0.16850652  0.44586682
   1.        ]]",6,Wake
668,NonOverlap20081028MT_Segment_7_wake.mat,20081028MT,"[[ 1.         -0.16102916 -0.33941746 ...  0.16956142  0.02085427
  -0.62099123]
 [-0.16102916  1.         -0.2262607  ... -0.33425188  0.26125053
  -0.1255467 ]
 [-0.33941746 -0.2262607   1.         ...  0.2808556  -0.45796925
   0.32436737]
 ...
 [ 0.16956142 -0.33425188  0.2808556  ...  1.         -0.06956378
   0.03907347]
 [ 0.02085427  0.26125053 -0.45796925 ... -0.06956378  1.
  -0.14691374]
 [-0.62099123 -0.1255467   0.32436737 ...  0.03907347 -0.14691374
   1.        ]]",7,Wake
669,NonOverlap20081104SB_Segment_1_wake.mat,20081104SB,"[[ 1.         -0.1311896   0.01544531 ... -0.07450178 -0.24183182
  -0.09623427]
 [-0.1311896   1.         -0.04899055 ...  0.23553167  0.26095694
  -0.06584921]
 [ 0.01544531 -0.04899055  1.         ...  0.00786946 -0.20987214
  -0.12939903]
 ...
 [-0.07450178  0.23553167  0.00786946 ...  1.          0.27799395
  -0.25863865]
 [-0.24183182  0.26095694 -0.20987214 ...  0.27799395  1.
   0.0474076 ]
 [-0.09623427 -0.06584921 -0.12939903 ... -0.25863865  0.0474076
   1.        ]]",1,Wake
670,NonOverlap20081105LS_Segment_1_wake.mat,20081105LS,"[[ 1.         -0.5909752  -0.42380947 ... -0.20469037 -0.19387957
  -0.15246345]
 [-0.5909752   1.          0.56358683 ...  0.17103809  0.4460218
   0.3357671 ]
 [-0.42380947  0.56358683  1.         ...  0.43787518 -0.02291734
   0.5964805 ]
 ...
 [-0.20469037  0.17103809  0.43787518 ...  1.         -0.2182443
   0.05956695]
 [-0.19387957  0.4460218  -0.02291734 ... -0.2182443   1.
  -0.09800334]
 [-0.15246345  0.3357671   0.5964805  ...  0.05956695 -0.09800334
   1.        ]]",1,Wake
671,NonOverlap20081105LS_Segment_2_wake.mat,20081105LS,"[[ 1.         -0.2749706  -0.00461415 ... -0.11316809 -0.05919033
   0.03547961]
 [-0.2749706   1.          0.13094056 ...  0.12942974  0.16048789
  -0.41197956]
 [-0.00461415  0.13094056  1.         ...  0.06475612  0.31132084
  -0.05938596]
 ...
 [-0.11316809  0.12942974  0.06475612 ...  1.         -0.09413747
  -0.12889948]
 [-0.05919033  0.16048789  0.31132084 ... -0.09413747  1.
  -0.19118284]
 [ 0.03547961 -0.41197956 -0.05938596 ... -0.12889948 -0.19118284
   1.        ]]",2,Wake
672,NonOverlap20081105LS_Segment_3_wake.mat,20081105LS,"[[ 1.          0.282968    0.2275498  ... -0.23781222 -0.06395046
  -0.18796591]
 [ 0.282968    1.         -0.30237046 ... -0.0379364  -0.08295698
   0.022581  ]
 [ 0.2275498  -0.30237046  1.         ... -0.16544092 -0.35938075
  -0.2781959 ]
 ...
 [-0.23781222 -0.0379364  -0.16544092 ...  1.          0.24854772
   0.3891018 ]
 [-0.06395046 -0.08295698 -0.35938075 ...  0.24854772  1.
   0.35301456]
 [-0.18796591  0.022581   -0.2781959  ...  0.3891018   0.35301456
   1.        ]]",3,Wake
673,NonOverlap20081105LS_Segment_4_wake.mat,20081105LS,"[[ 1.         -0.04085046  0.24526155 ... -0.32181373 -0.1121327
  -0.10791492]
 [-0.04085046  1.          0.43943742 ...  0.16933234 -0.07552003
   0.10214534]
 [ 0.24526155  0.43943742  1.         ... -0.06869235 -0.01051972
   0.3168937 ]
 ...
 [-0.32181373  0.16933234 -0.06869235 ...  1.          0.15699103
  -0.06424166]
 [-0.1121327  -0.07552003 -0.01051972 ...  0.15699103  1.
  -0.2348808 ]
 [-0.10791492  0.10214534  0.3168937  ... -0.06424166 -0.2348808
   1.        ]]",4,Wake
674,NonOverlap20081105LS_Segment_5_wake.mat,20081105LS,"[[ 1.         -0.10598587 -0.3592811  ... -0.33965307  0.25893998
   0.08188788]
 [-0.10598587  1.         -0.09186704 ... -0.16339481 -0.26935786
  -0.34303367]
 [-0.3592811  -0.09186704  1.         ...  0.54946035  0.42947876
  -0.02215831]
 ...
 [-0.33965307 -0.16339481  0.54946035 ...  1.          0.14533235
  -0.18469428]
 [ 0.25893998 -0.26935786  0.42947876 ...  0.14533235  1.
   0.23106283]
 [ 0.08188788 -0.34303367 -0.02215831 ... -0.18469428  0.23106283
   1.        ]]",5,Wake
675,NonOverlap20081105LS_Segment_6_wake.mat,20081105LS,"[[ 1.          0.11090465  0.4286993  ...  0.06306235  0.16304055
   0.05021536]
 [ 0.11090465  1.         -0.23184966 ... -0.57233465  0.19617632
   0.00466868]
 [ 0.4286993  -0.23184966  1.         ...  0.2439121   0.036842
   0.12354053]
 ...
 [ 0.06306235 -0.57233465  0.2439121  ...  1.          0.30524933
   0.18263553]
 [ 0.16304055  0.19617632  0.036842   ...  0.30524933  1.
   0.06752052]
 [ 0.05021536  0.00466868  0.12354053 ...  0.18263553  0.06752052
   1.        ]]",6,Wake
676,NonOverlap20081105LS_Segment_7_wake.mat,20081105LS,"[[ 1.         -0.19412369  0.05724812 ...  0.34194195  0.04604802
   0.15693802]
 [-0.19412369  1.          0.2367244  ... -0.5689978  -0.1339542
  -0.06778146]
 [ 0.05724812  0.2367244   1.         ... -0.24872571  0.18342653
   0.01416431]
 ...
 [ 0.34194195 -0.5689978  -0.24872571 ...  1.          0.22160466
   0.09454584]
 [ 0.04604802 -0.1339542   0.18342653 ...  0.22160466  1.
   0.2557423 ]
 [ 0.15693802 -0.06778146  0.01416431 ...  0.09454584  0.2557423
   1.        ]]",7,Wake
677,NonOverlap20081105LS_Segment_8_wake.mat,20081105LS,"[[ 1.          0.21087511  0.19418924 ... -0.13257955 -0.01618698
   0.19291206]
 [ 0.21087511  1.          0.17332153 ... -0.31382567 -0.49016437
  -0.08316632]
 [ 0.19418924  0.17332153  1.         ... -0.10325062  0.12877414
  -0.2330319 ]
 ...
 [-0.13257955 -0.31382567 -0.10325062 ...  1.          0.16390282
  -0.27939343]
 [-0.01618698 -0.49016437  0.12877414 ...  0.16390282  1.
   0.03877799]
 [ 0.19291206 -0.08316632 -0.2330319  ... -0.27939343  0.03877799
   1.        ]]",8,Wake
678,NonOverlap20081105LS_Segment_9_wake.mat,20081105LS,"[[ 1.         -0.06438461 -0.53734934 ...  0.02856381 -0.6318698
   0.12353808]
 [-0.06438461  1.          0.0266326  ...  0.4090566   0.09293228
   0.13075861]
 [-0.53734934  0.0266326   1.         ...  0.1072391   0.5032102
  -0.1424169 ]
 ...
 [ 0.02856381  0.4090566   0.1072391  ...  1.         -0.0786642
   0.04146345]
 [-0.6318698   0.09293228  0.5032102  ... -0.0786642   1.
  -0.02185057]
 [ 0.12353808  0.13075861 -0.1424169  ...  0.04146345 -0.02185057
   1.        ]]",9,Wake
679,NonOverlap20081105LS_Segment_10_wake.mat,20081105LS,"[[ 1.          0.01877065 -0.09845019 ... -0.01414503  0.03725051
  -0.19785808]
 [ 0.01877065  1.         -0.14766254 ...  0.02296649  0.13632295
   0.17465818]
 [-0.09845019 -0.14766254  1.         ... -0.1268672  -0.02915842
  -0.14982396]
 ...
 [-0.01414503  0.02296649 -0.1268672  ...  1.          0.07261098
   0.28546932]
 [ 0.03725051  0.13632295 -0.02915842 ...  0.07261098  1.
   0.11954512]
 [-0.19785808  0.17465818 -0.14982396 ...  0.28546932  0.11954512
   1.        ]]",10,Wake
680,NonOverlap20081105LS_Segment_11_wake.mat,20081105LS,"[[ 1.         -0.09259904 -0.37139556 ... -0.20411019 -0.11681066
  -0.20126718]
 [-0.09259904  1.         -0.02341331 ... -0.3844223   0.08038845
   0.24493173]
 [-0.37139556 -0.02341331  1.         ... -0.00931911  0.23374042
  -0.19809373]
 ...
 [-0.20411019 -0.3844223  -0.00931911 ...  1.         -0.27611077
  -0.12952736]
 [-0.11681066  0.08038845  0.23374042 ... -0.27611077  1.
   0.24679913]
 [-0.20126718  0.24493173 -0.19809373 ... -0.12952736  0.24679913
   1.        ]]",11,Wake
681,NonOverlap20081105LS_Segment_12_wake.mat,20081105LS,"[[ 1.         -0.32569465 -0.2853998  ... -0.270196   -0.03664895
   0.1367706 ]
 [-0.32569465  1.          0.15833747 ... -0.41060114  0.11113906
  -0.14112192]
 [-0.2853998   0.15833747  1.         ... -0.08100083  0.1274351
  -0.0234521 ]
 ...
 [-0.270196   -0.41060114 -0.08100083 ...  1.         -0.08083893
   0.0751548 ]
 [-0.03664895  0.11113906  0.1274351  ... -0.08083893  1.
  -0.10767902]
 [ 0.1367706  -0.14112192 -0.0234521  ...  0.0751548  -0.10767902
   1.        ]]",12,Wake
682,NonOverlap20081111UM_Segment_1_wake.mat,20081111UM,"[[ 1.         -0.3420926  -0.12735677 ...  0.324327   -0.41749185
  -0.30681455]
 [-0.3420926   1.          0.38155723 ...  0.01287805 -0.11820942
  -0.0274804 ]
 [-0.12735677  0.38155723  1.         ... -0.11509468  0.06359966
   0.0546862 ]
 ...
 [ 0.324327    0.01287805 -0.11509468 ...  1.         -0.12995431
  -0.6175966 ]
 [-0.41749185 -0.11820942  0.06359966 ... -0.12995431  1.
   0.04795276]
 [-0.30681455 -0.0274804   0.0546862  ... -0.6175966   0.04795276
   1.        ]]",1,Wake
683,NonOverlap20081111UM_Segment_2_wake.mat,20081111UM,"[[ 1.         -0.6449181   0.11891565 ... -0.34361005 -0.21329696
  -0.15808031]
 [-0.6449181   1.          0.23176937 ...  0.05062123 -0.03205645
  -0.13082911]
 [ 0.11891565  0.23176937  1.         ...  0.03583647 -0.0167697
  -0.08388174]
 ...
 [-0.34361005  0.05062123  0.03583647 ...  1.          0.1581728
   0.08844928]
 [-0.21329696 -0.03205645 -0.0167697  ...  0.1581728   1.
   0.17389339]
 [-0.15808031 -0.13082911 -0.08388174 ...  0.08844928  0.17389339
   1.        ]]",2,Wake
684,NonOverlap20081111UM_Segment_3_wake.mat,20081111UM,"[[ 1.         -0.37204814  0.30186012 ... -0.65045    -0.04299353
  -0.42735887]
 [-0.37204814  1.         -0.04175826 ...  0.17800507  0.0465863
   0.02622526]
 [ 0.30186012 -0.04175826  1.         ... -0.30117196 -0.15109703
   0.04270278]
 ...
 [-0.65045     0.17800507 -0.30117196 ...  1.          0.03005769
   0.5435599 ]
 [-0.04299353  0.0465863  -0.15109703 ...  0.03005769  1.
   0.01093056]
 [-0.42735887  0.02622526  0.04270278 ...  0.5435599   0.01093056
   1.        ]]",3,Wake
685,NonOverlap20081111UM_Segment_4_wake.mat,20081111UM,"[[ 1.         -0.36180818 -0.08865161 ...  0.20202804 -0.09763464
   0.11662447]
 [-0.36180818  1.          0.01750361 ... -0.3160364   0.12993082
  -0.10343054]
 [-0.08865161  0.01750361  1.         ...  0.24802417 -0.06128372
  -0.07591008]
 ...
 [ 0.20202804 -0.3160364   0.24802417 ...  1.         -0.08440186
   0.34050438]
 [-0.09763464  0.12993082 -0.06128372 ... -0.08440186  1.
  -0.1924133 ]
 [ 0.11662447 -0.10343054 -0.07591008 ...  0.34050438 -0.1924133
   1.        ]]",4,Wake
686,NonOverlap20081112WJ_Segment_1_wake.mat,20081112WJ,"[[ 1.          0.326774    0.02823554 ...  0.04134527  0.22074221
  -0.6436185 ]
 [ 0.326774    1.          0.15516552 ...  0.22460192  0.2764995
  -0.3895012 ]
 [ 0.02823554  0.15516552  1.         ... -0.06563461 -0.1528582
  -0.12845542]
 ...
 [ 0.04134527  0.22460192 -0.06563461 ...  1.          0.41810474
  -0.23613815]
 [ 0.22074221  0.2764995  -0.1528582  ...  0.41810474  1.
  -0.20087613]
 [-0.6436185  -0.3895012  -0.12845542 ... -0.23613815 -0.20087613
   1.        ]]",1,Wake
687,NonOverlap20081112WJ_Segment_2_wake.mat,20081112WJ,"[[ 1.          0.37633583 -0.01431618 ... -0.07380185  0.03510884
   0.23241287]
 [ 0.37633583  1.         -0.12136817 ... -0.23885065 -0.17971414
   0.15369289]
 [-0.01431618 -0.12136817  1.         ...  0.34018677  0.014558
   0.01871911]
 ...
 [-0.07380185 -0.23885065  0.34018677 ...  1.          0.2209841
   0.24630323]
 [ 0.03510884 -0.17971414  0.014558   ...  0.2209841   1.
   0.13105436]
 [ 0.23241287  0.15369289  0.01871911 ...  0.24630323  0.13105436
   1.        ]]",2,Wake
688,NonOverlap20081112WJ_Segment_3_wake.mat,20081112WJ,"[[ 1.         -0.14911616 -0.23658836 ... -0.26089656  0.41753682
  -0.29437092]
 [-0.14911616  1.         -0.09791416 ...  0.11979965  0.17969894
   0.2568347 ]
 [-0.23658836 -0.09791416  1.         ...  0.30608845 -0.1584169
  -0.22387576]
 ...
 [-0.26089656  0.11979965  0.30608845 ...  1.         -0.19096717
   0.14918081]
 [ 0.41753682  0.17969894 -0.1584169  ... -0.19096717  1.
   0.02888175]
 [-0.29437092  0.2568347  -0.22387576 ...  0.14918081  0.02888175
   1.        ]]",3,Wake
